1,Mal uso del material de la biblioteca.,2017-11-04,2017-12-04,1
2,Mal uso de las instalaciones de la biblioteca.,2017-11-05,2017-12-05,2
3,Regresó libro en mal estado.,2017-11-06,2017-12-06,3
4,Regresó libro con 2 meses de retardo.,2017-11-07,2017-12-07,4
5,Intentó retirar libros del inmueble sin préstamo.,2017-11-08,2017-12-08,5
6,Mal uso del máterial de la biblioteca.,2017-11-09,2017-12-09,6
7,Ingresó alimentos a la biblioteca y reaacionó mal a la llmada de atención.,2017-11-10,2017-12-10,7
8,Fue grosero con el personal multiples veces.,2017-11-11,2017-12-11,8
9,Regresó libro en mal estado.,2017-11-12,2017-12-12,9
10,Mal uso de las instalaciones de la biblioteca.,2017-11-13,2017-12-13,10
11,Ingresó un conejo y se negaba a retirarse. ,2017-11-14,2017-12-14,11
12,Mal uso de las instalaciones de la biblioteca.,2017-11-15,2017-12-15,12
13,Mal uso de las instalaciones de la biblioteca.,2017-11-16,2017-12-16,13
14,Ingresó en estado alcoholico y mal comportamiento.,2017-11-17,2017-12-17,14
15,Regresó libro en mal estado.,2017-11-18,2017-12-18,15
16,Mal uso del máterial de la biblioteca.,2017-11-19,2017-12-19,16
17,Regresó libro en mal estado.,2017-11-20,2017-12-20,17
18,Regresó libro con 8 meses de retardo.,2017-11-21,2017-12-21,18
19,Intentó retirar libros del inmueble sin préstamo.,2017-11-22,2017-12-22,19
20,Regresó libro en mal estado.,2017-11-23,2017-12-23,20